run_id,EOS,sigma,status,reason,path,max_epsratio
AP4PPRead2009_A_baseline,AP4-PP(Read2009),0.0,RESOLVED,,outputs/diagnostics/AP4PPRead2009_A_baseline,0.0
AP4PPRead2009_B_legacy,AP4-PP(Read2009),0.06,RESOLVED,,outputs/diagnostics/AP4PPRead2009_B_legacy,0.06
AP4PPRead2009_C_sigma_chi,AP4-PP(Read2009),0.06,RESOLVED,,outputs/diagnostics/AP4PPRead2009_C_sigma_chi,0.06
H4PPRead2009_A_baseline,H4-PP(Read2009),0.0,RESOLVED,,outputs/diagnostics/H4PPRead2009_A_baseline,0.0
H4PPRead2009_B_legacy,H4-PP(Read2009),0.06,RESOLVED,,outputs/diagnostics/H4PPRead2009_B_legacy,0.06
H4PPRead2009_C_sigma_chi,H4-PP(Read2009),0.06,RESOLVED,,outputs/diagnostics/H4PPRead2009_C_sigma_chi,0.06
MPA1PPRead2009_A_baseline,MPA1-PP(Read2009),0.0,RESOLVED,,outputs/diagnostics/MPA1PPRead2009_A_baseline,0.0
MPA1PPRead2009_B_legacy,MPA1-PP(Read2009),0.06,RESOLVED,,outputs/diagnostics/MPA1PPRead2009_B_legacy,0.06
MPA1PPRead2009_C_sigma_chi,MPA1-PP(Read2009),0.06,RESOLVED,,outputs/diagnostics/MPA1PPRead2009_C_sigma_chi,0.06
Poly2toy_A_baseline,Poly2(toy),0.0,DIAGNOSTIC,,outputs/diagnostics/Poly2toy_A_baseline,1.0
Poly2toy_B_legacy,Poly2(toy),0.06,DIAGNOSTIC,,outputs/diagnostics/Poly2toy_B_legacy,1.0
Poly2toy_C_sigma_chi,Poly2(toy),0.06,DIAGNOSTIC,,outputs/diagnostics/Poly2toy_C_sigma_chi,1.0
SLyPPRead2009_A_baseline,SLy-PP(Read2009),0.0,RESOLVED,,outputs/diagnostics/SLyPPRead2009_A_baseline,0.0
SLyPPRead2009_B_legacy,SLy-PP(Read2009),0.06,RESOLVED,,outputs/diagnostics/SLyPPRead2009_B_legacy,0.06
SLyPPRead2009_C_sigma_chi,SLy-PP(Read2009),0.06,RESOLVED,,outputs/diagnostics/SLyPPRead2009_C_sigma_chi,0.06
WFF1PPRead2009_A_baseline,WFF1-PP(Read2009),0.0,RESOLVED,,outputs/diagnostics/WFF1PPRead2009_A_baseline,0.0
WFF1PPRead2009_B_legacy,WFF1-PP(Read2009),0.06,RESOLVED,,outputs/diagnostics/WFF1PPRead2009_B_legacy,0.06
WFF1PPRead2009_C_sigma_chi,WFF1-PP(Read2009),0.06,RESOLVED,,outputs/diagnostics/WFF1PPRead2009_C_sigma_chi,0.06
