EOS,variant,sigma,Lambda_1.4,deltaLambda,deltaLambda_frac,max_epsratio,inc_g,source_case,derived
AP4-PP(Read2009),A,0.0,730.546741640342,0.0,0.0,0.0,False,A_baseline,False
AP4-PP(Read2009),A,0.04,650.4012458234766,-80.14549581686538,-0.10970618476363293,0.04,False,B_legacy,False
AP4-PP(Read2009),A,0.06,601.7511904605826,-128.7955511797594,-0.1763002198744556,0.06,False,C_sigma_chi,False
AP4-PP(Read2009),B_exploratory,0.0,730.546741640342,0.0,0.0,0.0,False,A_baseline,False
AP4-PP(Read2009),B_exploratory,0.04,574.6187727172371,-155.92796892310488,-0.21344009908659659,0.04,True,D_sigma_chi_gravity_scaled,True
AP4-PP(Read2009),B_exploratory,0.06,496.6547882556847,-233.8919533846573,-0.3201601486298949,0.06,True,D_sigma_chi_gravity,False
Poly2(toy),A,0.0,22898.97354573834,0.0,0.0,0.0,False,A_baseline,False
Poly2(toy),A,0.04,17076.35924829446,-5822.614297443881,-0.2542740304849826,0.04,False,B_legacy,False
Poly2(toy),A,0.06,15583.900316233096,-7315.073229505244,-0.31944983101072805,0.06,False,C_sigma_chi,False
Poly2(toy),B_exploratory,0.0,22898.97354573834,0.0,0.0,0.0,False,A_baseline,False
Poly2(toy),B_exploratory,0.04,16631.615750946577,-6267.357794791761,-0.27369601446428854,0.04,True,D_sigma_chi_gravity_scaled,True
Poly2(toy),B_exploratory,0.06,13497.936853550698,-9401.036692187641,-0.4105440216964328,0.06,True,D_sigma_chi_gravity,False
SLy-PP(Read2009),A,0.0,712.879680402905,0.0,0.0,0.0,False,A_baseline,False
SLy-PP(Read2009),A,0.04,642.7434183289059,-70.13626207399909,-0.09838443148549207,0.04,False,B_legacy,False
SLy-PP(Read2009),A,0.06,599.7381115968952,-113.14156880600979,-0.15871060982137195,0.06,False,C_sigma_chi,False
SLy-PP(Read2009),B_exploratory,0.0,712.879680402905,0.0,0.0,0.0,False,A_baseline,False
SLy-PP(Read2009),B_exploratory,0.04,570.5697734924603,-142.3099069104447,-0.1996268245856216,0.04,True,D_sigma_chi_gravity_scaled,True
SLy-PP(Read2009),B_exploratory,0.06,499.414820037238,-213.46486036566705,-0.29944023687843235,0.06,True,D_sigma_chi_gravity,False
