eos,sigma,lambda_1p4,status,source
AP4-PP(Read2009),0.0,540.1196408002265,resolved,runs_summary
AP4-PP(Read2009),0.02,491.99057236252617,resolved,linear_from_runs_summary
AP4-PP(Read2009),0.04,443.8615039248258,resolved,linear_from_runs_summary
AP4-PP(Read2009),0.06,395.7324354871255,resolved,runs_summary
H4-PP(Read2009),0.0,1341.8427449511964,resolved,runs_summary
H4-PP(Read2009),0.02,901.4304985248205,resolved,linear_from_runs_summary
H4-PP(Read2009),0.04,461.0182520984446,resolved,linear_from_runs_summary
H4-PP(Read2009),0.06,20.606005672068704,resolved,runs_summary
MPA1-PP(Read2009),0.0,929.071085323228,resolved,runs_summary
MPA1-PP(Read2009),0.02,857.92669965994,resolved,linear_from_runs_summary
MPA1-PP(Read2009),0.04,786.7823139966521,resolved,linear_from_runs_summary
MPA1-PP(Read2009),0.06,715.6379283333641,resolved,runs_summary
Poly2(toy),0.0,0.0,diagnostic,runs_summary
Poly2(toy),0.02,0.0,diagnostic,linear_from_runs_summary
Poly2(toy),0.04,0.0,diagnostic,linear_from_runs_summary
Poly2(toy),0.06,0.0,diagnostic,runs_summary
SLy-PP(Read2009),0.0,455.0502509224901,resolved,runs_summary
SLy-PP(Read2009),0.02,462.8668128203057,resolved,linear_from_runs_summary
SLy-PP(Read2009),0.04,470.68337471812134,resolved,linear_from_runs_summary
SLy-PP(Read2009),0.06,478.499936615937,resolved,runs_summary
WFF1-PP(Read2009),0.0,19.311304225095355,resolved,runs_summary
WFF1-PP(Read2009),0.02,14.57025290319022,resolved,linear_from_runs_summary
WFF1-PP(Read2009),0.04,9.829201581285085,resolved,linear_from_runs_summary
WFF1-PP(Read2009),0.06,5.088150259379951,resolved,runs_summary
